Carrera,Estudiantes femeninos,Estudiantes masculinos,Cuatrimestre,Año,,,,
Tecnólogo en Desarrollo de Software,3,6,Septiembre- Diciembre,2006,,,,
Tecnólogo en Multimedia,8,9,Septiembre- Diciembre,2006,,,,
Tecnólogo en Redes de Información,13,19,Septiembre- Diciembre,2006,,,,
Tecnólogo en Manufactura Automatizada,8,5,Septiembre- Diciembre,2006,,,,
Tecnólogo en Desarrollo de Software,8,13,Enero - Abril,2007,,,,
Tecnólogo en Manufactura Automatizada,13,12,Enero - Abril,2007,,,,
Tecnólogo en Multimedia,14,15,Enero - Abril,2007,,,,
Tecnólogo en Redes de Información,17,28,Enero - Abril,2007,,,,
Tecnólogo en Desarrollo de Software,9,14,Mayo - Agosto,2007,,,,
Tecnólogo en Manufactura Automatizada,14,13,Mayo - Agosto,2007,,,,
Tecnólogo en Multimedia,14,19,Mayo - Agosto,2007,,,,
Tecnólogo en Redes de Información,18,35,Mayo - Agosto,2007,,,,
Tecnólogo en Desarrollo de Software,26,52,Septiembre- Diciembre,2007,,,,
Tecnólogo en Manufactura Automatizada,15,48,Septiembre- Diciembre,2007,,,,
Tecnólogo en Mecatrónica,0,12,Septiembre- Diciembre,2007,,,,
Tecnólogo en Multimedia,45,50,Septiembre- Diciembre,2007,,,,
Tecnólogo en Redes de Información,45,101,Septiembre- Diciembre,2007,,,,
Tecnólogo en Desarrollo de Software,35,73,Enero - Abril,2008,,,,
Tecnólogo en Manufactura Automatizada,19,75,Enero - Abril,2008,,,,
Tecnólogo en Mecatrónica,2,25,Enero - Abril,2008,,,,
Tecnólogo en Multimedia,61,76,Enero - Abril,2008,,,,
Tecnólogo en Redes de Información,70,179,Enero - Abril,2008,,,,
Tecnólogo en Desarrollo de Software,39,96,Mayo - Agosto,2008,,,,
Tecnólogo en Manufactura Automatizada,20,78,Mayo - Agosto,2008,,,,
Tecnólogo en Mecatrónica,2,37,Mayo - Agosto,2008,,,,
Tecnólogo en Multimedia,68,90,Mayo - Agosto,2008,,,,
Tecnólogo en Redes de Información,78,212,Mayo - Agosto,2008,,,,
Tecnólogo en Desarrollo de Software,68,157,Septiembre- Diciembre,2008,,,,
Tecnólogo en Manufactura Automatizada,24,84,Septiembre- Diciembre,2008,,,,
Tecnólogo en Mecatrónica,9,63,Septiembre- Diciembre,2008,,,,
Tecnólogo en Multimedia,126,130,Septiembre- Diciembre,2008,,,,
Tecnólogo en Redes de Información,119,257,Septiembre- Diciembre,2008,,,,
Tecnólogo en Desarrollo de Software,69,184,Enero - Abril,2009,,,,
Tecnólogo en Manufactura Automatizada,21,88,Enero - Abril,2009,,,,
Tecnólogo en Mecatrónica,9,77,Enero - Abril,2009,,,,
Tecnólogo en Multimedia,136,152,Enero - Abril,2009,,,,
Tecnólogo en Redes de Información,128,282,Enero - Abril,2009,,,,
Tecnólogo en Desarrollo de Software,67,175,Mayo - Agosto,2009,,,,
Tecnólogo en Manufactura Automatizada,17,78,Mayo - Agosto,2009,,,,
Tecnólogo en Mecatrónica,10,74,Mayo - Agosto,2009,,,,
Tecnólogo en Multimedia,131,148,Mayo - Agosto,2009,,,,
Tecnólogo en Redes de Información,125,264,Mayo - Agosto,2009,,,,
Tecnólogo en Desarrollo de Software,88,204,Septiembre- Diciembre,2009,,,,
Tecnólogo en Manufactura Automatizada,17,75,Septiembre- Diciembre,2009,,,,
Tecnólogo en Mecatrónica,11,81,Septiembre- Diciembre,2009,,,,
Tecnólogo en Multimedia,134,165,Septiembre- Diciembre,2009,,,,
Tecnólogo en Redes de Información,138,284,Septiembre- Diciembre,2009,,,,
Tecnólogo en Desarrollo de Software,80,221,Enero - Abril,2010,,,,
Tecnólogo en Manufactura Automatizada,16,78,Enero - Abril,2010,,,,
Tecnólogo en Mecatrónica,13,104,Enero - Abril,2010,,,,
Tecnólogo en Multimedia,139,176,Enero - Abril,2010,,,,
Tecnólogo en Redes de Información,134,281,Enero - Abril,2010,,,,
Tecnólogo en Desarrollo de Software,74,192,Mayo - Agosto,2010,,,,
Tecnólogo en Manufactura Automatizada,16,40,Mayo - Agosto,2010,,,,
Tecnólogo en Mecatrónica,9,90,Mayo - Agosto,2010,,,,
Tecnólogo en Multimedia,123,150,Mayo - Agosto,2010,,,,
Tecnólogo en Redes de Información,113,234,Mayo - Agosto,2010,,,,
Tecnólogo en Desarrollo de Software,79,188,Septiembre- Diciembre,2010,,,,
Tecnólogo en Manufactura Automatizada,12,37,Septiembre- Diciembre,2010,,,,
Tecnólogo en Mecatrónica,10,90,Septiembre- Diciembre,2010,,,,
Tecnólogo en Multimedia,128,153,Septiembre- Diciembre,2010,,,,
Tecnólogo en Redes de Información,111,222,Septiembre- Diciembre,2010,,,,
Tecnólogo en Desarrollo de Software,55,153,Enero - Abril,2011,,,,
Tecnólogo en Manufactura Automatizada,6,34,Enero - Abril,2011,,,,
Tecnólogo en Mecatrónica,12,96,Enero - Abril,2011,,,,
Tecnólogo en Multimedia,98,104,Enero - Abril,2011,,,,
Tecnólogo en Redes de Información,79,179,Enero - Abril,2011,,,,
Tecnólogo en Desarrollo de Software,45,122,Mayo - Agosto,2011,,,,
Tecnólogo en Manufactura Automatizada,3,27,Mayo - Agosto,2011,,,,
Tecnólogo en Mecatrónica,12,85,Mayo - Agosto,2011,,,,
Tecnólogo en Multimedia,73,87,Mayo - Agosto,2011,,,,
Tecnólogo en Redes de Información,50,152,Mayo - Agosto,2011,,,,
Tecnólogo en Desarrollo de Software,58,187,Septiembre- Diciembre,2011,,,,
Tecnólogo en Manufactura Automatizada,7,25,Septiembre- Diciembre,2011,,,,
Tecnólogo en Mecatrónica,18,136,Septiembre- Diciembre,2011,,,,
Tecnólogo en Multimedia,104,152,Septiembre- Diciembre,2011,,,,
Tecnólogo en Redes de Información,53,210,Septiembre- Diciembre,2011,,,,
Tecnólogo en Desarrollo de Software,54,211,Enero - Abril,2012,,,,
Tecnólogo en Manufactura Automatizada,7,28,Enero - Abril,2012,,,,
Tecnólogo en Mecatrónica,22,159,Enero - Abril,2012,,,,
Tecnólogo en Multimedia,104,166,Enero - Abril,2012,,,,
Tecnólogo en Redes de Información,53,233,Enero - Abril,2012,,,,
Tecnólogo en Desarrollo de Software,46,195,Mayo - Agosto,2012,,,,
Tecnólogo en Manufactura Automatizada,8,28,Mayo - Agosto,2012,,,,
Tecnólogo en Mecatrónica,19,124,Mayo - Agosto,2012,,,,
Tecnólogo en Multimedia,91,160,Mayo - Agosto,2012,,,,
Tecnólogo en Redes de Información,40,184,Mayo - Agosto,2012,,,,
Tecnólogo en Desarrollo de Software,53,226,Septiembre- Diciembre,2012,,,,
Tecnólogo en Manufactura Automatizada,8,26,Septiembre- Diciembre,2012,,,,
Tecnólogo en Mecatrónica,25,148,Septiembre- Diciembre,2012,,,,
Tecnólogo en Multimedia,113,171,Septiembre- Diciembre,2012,,,,
Tecnólogo en Redes de Información,43,208,Septiembre- Diciembre,2012,,,,
Tecnólogo en Desarrollo de Software,56,256,Enero - Abril,2013,,,,
Tecnólogo en Manufactura Automatizada,5,25,Enero - Abril,2013,,,,
Tecnólogo en Mecatrónica,27,152,Enero - Abril,2013,,,,
Tecnólogo en Multimedia,120,180,Enero - Abril,2013,,,,
Tecnólogo en Redes de Información,39,212,Enero - Abril,2013,,,,
Tecnólogo en Desarrollo de Software,48,232,Mayo - Agosto,2013,,,,
Tecnólogo en Manufactura Automatizada,6,40,Mayo - Agosto,2013,,,,
Tecnólogo en Mecatrónica,17,117,Mayo - Agosto,2013,,,,
Tecnólogo en Multimedia,110,163,Mayo - Agosto,2013,,,,
Tecnólogo en Redes de Información,38,189,Mayo - Agosto,2013,,,,
Tecnólogo en Desarrollo de Software,58,316,Septiembre- Diciembre,2013,,,,
Tecnólogo en Manufactura Automatizada,10,48,Septiembre- Diciembre,2013,,,,
Tecnólogo en Mecatrónica,21,152,Septiembre- Diciembre,2013,,,,
Tecnólogo en Multimedia,131,205,Septiembre- Diciembre,2013,,,,
Tecnólogo en Redes de Información,67,272,Septiembre- Diciembre,2013,,,,
Tecnólogo en Desarrollo de Software,57,321,Enero - Abril,2014,,,,
