Carrera,Masculino,Femenino,Mes de Graduacion,Año de graduacion,
Tecnologo en Redes de la Informacion ,19,11,Agosto,2009,
Tecnologo en Multimedia,1,9,Agosto,2009,
Tecnologo en Manufactura Automatizada,4,5,Agosto,2009,
Tecnologo en Desarrollo de Software,0,0,Agosto,2009,
Tecnologo de Mecatronica,0,0,Agosto,2009,
Tecnologo en Redes de la Informacion ,25,17,Agosto,2011,
Tecnologo en Multimedia,28,20,Agosto,2011,
Tecnologo en Manufactura Automatizada,24,8,Agosto,2011,
Tecnologo en Desarrollo de Software,20,8,Agosto,2011,
Tecnologo de Mecatronica,7,0,Agosto,2011,
Tecnologo en Redes de la Informacion ,6,1,Abril,2011,
Tecnologo en Desarrollo de Software,3,3,Abril,2011,
Tecnologo de Mecatronica,0,0,Abril,2011,
Tecnologo en Multimedia,0,0,Abril,2011,
Tecnologo en Manufactura Automatizada,2,0,Abril,2011,
Tecnologo en Redes de la Informacion ,62,46,Enero,2012,
Tecnologo en Multimedia,31,40,Enero,2012,
Tecnologo en Desarrollo de Software,56,18,Enero,2012,
Tecnologo de Mecatronica,22,1,Enero,2012,
Tecnologo en Manufactura Automatizada,14,1,Enero,2012,
Tecnologo en Manufactura Automatizada,3,1,Agosto,2012,
Tecnologo en Desarrollo de Software,22,11,Agosto,2012,
Tecnologo de Mecatronica,11,0,Agosto,2012,
Tecnologo en Redes de la Informacion ,36,13,Agosto,2012,
Tecnologo en Multimedia,5,6,Agosto,2012,
Tecnologo en Redes de la Informacion ,54,20,Agosto,2013,
Tecnologo en Multimedia,31,20,Agosto,2013,
Tecnologo en Manufactura Automatizada,13,2,Agosto,2013,
Tecnologo en Desarrollo de Software,40,7,Agosto,2013,
Tecnologo de Mecatronica,25,2,Agosto,2013,
Tecnologo en Redes de la Informacion ,60,11,Agosto,2014,
Tecnologo en Multimedia,33,27,Agosto,2014,
Tecnologo en Manufactura Automatizada,6,2,Agosto,2014,
Tecnologo en Desarrollo de Software,57,18,Agosto,2014,
Tecnologo de Mecatronica,24,3,Agosto,2014,
Tecnologo en Redes de la Informacion ,59,19,Agosto,2015,
Tecnologo en Multimedia,44,35,Agosto,2015,
Tecnologo en Manufactura Automatizada,20,4,Agosto,2015,
Tecnologo en Desarrollo de Software,89,16,Agosto,2015,
Tecnologo de Mecatronica,27,4,Agosto,2015,
Tecnologo en Redes de la Informacion ,72,12,Agosto,2016,
Tecnologo en Multimedia,60,26,Agosto,2016,
Tecnologo en Manufactura Automatizada,16,4,Agosto,2016,
Tecnologo en Desarrollo de Software,24,85,Agosto,2016,
Tecnologo de Mecatronica,22,3,Agosto,2016,
Tecnologo en Redes de la Informacion ,48,17,Agosto,2017,
Tecnologo en Multimedia,31,38,Agosto,2017,
Tecnologo en Manufactura Automatizada,7,2,Agosto,2017,
Tecnologo en Desarrollo de Software,74,16,Agosto,2017,
Tecnologo de Mecatronica,26,1,Agosto,2017,
Tecnologo en Redes de la Informacion ,13,63,Agosto,2018,
Tecnologo en Desarrollo de Software,12,84,Agosto,2018,
Tecnologo en Manufactura Automatizada,2,8,Agosto,2018,
Tecnologo de Mecatronica,1,23,Agosto,2018,
Tecnologo en Multimedia,28,29,Agosto,2018,
Tecnologo en Desarrollo de Software,149,29,Agosto,2019,
Tecnologo en Manufactura Automatizada,7,3,Agosto,2019,
Tecnologo en Mecatrónica,20,4,Agosto,2019,
Tecnologo en Multimedia,35,30,Agosto,2019,
Tecnologo en Redes de Información,71,14,Agosto,2019,
Tecnologo en Seguridad Informática,16,1,Agosto,2019,
Tecnologo en Redes de Información,20,3,Agosto,2020,
Tecnologo en Desarrollo de Software,105,9,Agosto,2020,
Tecnologo en Manufactura Automatizada,8,1,Agosto,2020,
Tecnologo en Mecatrónica,18,5,Agosto,2020,
Tecnologo en Multimedia,17,11,Agosto,2020,
Tecnologo en Seguridad Informática,19,8,Agosto,2020,
Tecnologo en Sonido,2,1,Agosto,2020,
Tecnologo en Desarrollo de Software,109,22,Mayo,2021,
Tecnologo en Manufactura Automatizada,8,5,Mayo,2021,
Tecnologo en Mecatrónica,9,1,Mayo,2021,
Tecnologo en Multimedia,27,20,Mayo,2021,
Tecnologo en Redes de Información,30,14,Mayo,2021,
Tecnologo en Seguridad Informática,22,5,Mayo,2021,
Tecnologo en Desarrollo de Software,174,35,Octubre,2021,
Tecnologo en Manufactura Automatizada,8,4,Octubre,2021,
Tecnologo en Mecatrónica,51,13,Octubre,2021,
Tecnologo en Multimedia,24,28,Octubre,2021,
Tecnologo en Redes de Información,69,8,Octubre,2021,
Tecnologo en Seguridad Informática,69,8,Octubre,2021,
Tecnologo en Sonido,4,0,Octubre,2021,
Tecnologo en Redes de Información,32,9,Agosto,2022,
Tecnologo en Desarrollo de Software,218,42,Agosto,2022,
Tecnologo en Diseño Industrial,3,1,Agosto,2022,
Tecnologo en Manufactura Automatizada,6,1,Agosto,2022,
Tecnologo en Mecatrónica,36,7,Agosto,2022,
Tecnologo en Multimedia,35,33,Agosto,2022,
Tecnologo en Seguridad Informática,95,26,Agosto,2022,
Tecnologo en Sonido,2,0,Agosto,2022,
