Artículos,Índice de Precios al Consumo inicial,Índice de Precios al Consumo final,Período,Variación IPC por período
Aguacate,115.1,191.43,Enero - Junio 2022,66.32
Gas kerosene,149.52,234.72,Enero - Junio 2022,56.98
Yuca,99.48,139.07,Enero - Junio 2022,39.8
Naranjas,110.38,153.26,Enero - Junio 2022,38.85
Transporte de pasajeros por aire,114.98,152.68,Enero - Junio 2022,32.79
Transporte aéreo,114.98,152.68,Enero - Junio 2022,32.79
Pasaje al exterior,114.98,152.68,Enero - Junio 2022,32.79
Combustibles líquidos,122.08,156.2,Enero - Junio 2022,27.95
Otros combustibles,122.08,156.2,Enero - Junio 2022,27.95
Guandules verdes,103.02,124.92,Enero - Junio 2022,21.26
Ajíes,98.47,118.72,Enero - Junio 2022,20.57
Tubérculos,97.46,116.7,Enero - Junio 2022,19.73
Batata,99.19,118.3,Enero - Junio 2022,19.27
Servicio de agua,100,118.97,Enero - Junio 2022,18.97
Mentas y Chiclets,106.83,126.6,Enero - Junio 2022,18.51
Apio,94.201,141.239,Julio - Diciembre 2022,49.93
Papa,101.037,150.485,Julio - Diciembre 2022,48.94
Plátano maduro,104.591,145.311,Julio - Diciembre 2022,38.93
Plátano verde,106.105,144.487,Julio - Diciembre 2022,36.17
Yautía,90.628,118.133,Julio - Diciembre 2022,30.35
Chinola,124.535,153.402,Julio - Diciembre 2022,23.18
Tomates,112.007,134.77,Julio - Diciembre 2022,20.32
Limón agrio,76.629,91.882,Julio - Diciembre 2022,19.90
Tubérculos,122.582,146.423,Julio - Diciembre 2022,19.45
Cebolla,83.869,100.034,Julio - Diciembre 2022,19.27
Piña,108.94,129.583,Julio - Diciembre 2022,18.95
Batata,119.968,141.53,Julio - Diciembre 2022,17.97
Guineo verde,108.588,128.103,Julio - Diciembre 2022,17.97
Zanahoria,95.654,112.609,Julio - Diciembre 2022,17.73
Frutas frescas,114.385,134.587,Julio - Diciembre 2022,17.66
